,Unnamed: 0,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
6,6,252645135,252691215,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
4,4,252645135,252656655,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
35,35,252645135,267448560,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
30,30,252645135,267390960,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
3,3,252645135,252652815,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
2,2,252645135,252645360,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
75,75,252645135,1768515945,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
0,0,252645135,252645195,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
33,33,252645135,267448335,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
60,60,252645135,1010580540,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
121,121,252645135,3789677025,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
103,103,252645135,2526451350,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
18,18,252645135,256577355,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
134,134,252645135,4042264560,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
137,137,252645135,264441615,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
135,135,252645135,4042272240,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
65,65,252645135,1259293455,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
95,95,252645135,2273806215,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
100,100,252645135,252648975,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
157,157,252645135,1259293455,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
94,94,252645135,2222699760,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
93,93,252645135,2222699700,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
92,92,252645135,2218767600,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
151,151,252645135,757935405,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
70,70,252645135,1263225675,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
141,141,252645135,267448335,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
91,91,252645135,2218767540,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
142,142,252645135,267448560,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
148,148,252645135,755969295,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
291,291,3035673615,755969295,26,0.1236515437990768,0.2038472555369759,2,0.3110177667353976,0.7663611080988648
138,138,252656880,252698895,18,-0.3381929123901401,0.3341984618006144,2,0.3107456530486332,0.7663611080988648
20,20,517136850,3027809415,2,0.306930054221133,0.7663611080988648,2,0.306930054221133,0.7663611080988648
