,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
55,252656655,2018212020,7,-0.5095010114104315,0.6196104012195134,2,0.016166431683683556,0.7663611080988648
56,252656655,2018212080,26,0.08203283817850893,0.20384725553697597,2,0.20870377985777552,0.7663611080988648
57,252656655,2019194970,23,0.031729056594904784,0.2598546757324904,2,0.1812574331968561,0.7663611080988648
58,252656655,2021161080,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
59,252656655,2072267535,5,-0.49586159925998874,0.6348250348539115,2,0.2326213005163485,0.7663611080988648
60,252656655,2072267595,3,-0.5139543023200104,0.5206351999771719,2,0.07740095069792943,0.7663611080988648
61,252656655,2076199695,9,-0.35609417359922924,0.4907195480030768,2,0.2775452491849667,0.7663611080988648
62,252656655,2076199755,6,-0.42138219782877295,0.6356237424292691,2,-0.0508523686662605,0.7663611080988648
63,252656655,2076199920,11,-0.2590486583276949,0.48554235411211316,2,0.043347523363206956,0.7663611080988648
64,252656655,2218767375,3,0.10795248106125747,0.5206351999771719,2,0.12298037499036626,0.7663611080988648
65,252656655,2218767540,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
66,252656655,2218767600,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
67,252656655,2222699700,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
68,252656655,2222699760,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
69,252656655,2273806215,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
70,252656655,2275772325,9,-0.28475277667436294,0.4907195480030768,2,0.07108951653020748,0.7663611080988648
71,252656655,2276755215,4,-0.5492988897697634,0.6624775722716753,2,0.004730439358067058,0.7663611080988648
72,252656655,2276755275,4,-0.5246042087327631,0.6624775722716753,2,-0.35141568022472014,0.7663611080988648
73,252656655,2276755335,6,-0.316547464508765,0.6356237424292691,2,0.012261511982739861,0.7663611080988648
74,252656655,252648975,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
75,252656655,2370538887,4,-0.25806232298220555,0.6624775722716753,2,0.14185120885528918,0.7663611080988648
76,252656655,2463552210,25,0.018981305597820297,0.21274725155898905,2,0.18447982415491504,0.7663611080988648
77,252656655,2526451350,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
78,252656655,2777130375,9,-0.3467051450214839,0.4907195480030768,2,0.05942278564793625,0.7663611080988648
79,252656655,2783028705,7,-0.5378940222836464,0.6196104012195134,2,-0.046854649251134695,0.7663611080988648
80,252656655,3027809415,4,-0.29623219655201827,0.6624775722716753,2,-0.09467143509458006,0.7663611080988648
81,252656655,3031741620,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
82,252656655,3035673615,11,-0.29932126951674987,0.48554235411211316,2,0.1341972484451963,0.7663611080988648
83,252656655,3035673780,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
84,252656655,3063191190,12,-0.41365076102646825,0.45983241876302794,2,0.01757750476674954,0.7663611080988648
85,252656655,3530698098,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
86,252656655,3537028050,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
87,252656655,3537035730,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
88,252656655,3537972705,3,-0.3894397594022485,0.5206351999771719,2,-0.23895431243955578,0.7663611080988648
89,252656655,3538955760,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
90,252656655,3539005680,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
91,252656655,3724750095,6,-0.5861227294183224,0.6356237424292691,2,0.02721634894087217,0.7663611080988648
92,252656655,3726716205,8,-0.3800593417498914,0.5402522282032921,2,0.05263788603356144,0.7663611080988648
93,252656655,3777826605,5,-0.2831214792037233,0.6348250348539115,2,-0.004002545993649818,0.7663611080988648
94,252656655,3785744805,10,-0.45824550812195,0.4896891491028008,2,0.1128594150822769,0.7663611080988648
95,252656655,3789677025,27,0.10474229451271562,0.17408592687657937,2,0.0315256550036305,0.7663611080988648
96,252656655,4027518936,5,-0.4708352171717429,0.6348250348539115,2,0.07842486456383728,0.7663611080988648
97,252656655,4027544304,23,0.07316200558351565,0.2598546757324904,2,0.21504801093668016,0.7663611080988648
98,252656655,4027576335,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
99,252656655,4027576560,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
100,252656655,4030467855,11,-0.3743678542787945,0.48554235411211316,2,0.3535305833926326,0.7663611080988648
101,252656655,4031508660,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
